Rk,Team,ATL,BOS,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,KCK,LAL,MIL,NJN,NYK,PHI,PHO,POR,SAS,SDC,SEA,UTA,WSB
1,Atlanta Hawks,,1-5,5-1,6-0,1-1,1-1,3-3,0-2,2-0,6-0,0-2,0-2,1-4,2-4,3-2,2-4,1-1,1-1,0-2,1-1,1-1,2-0,4-2
2,Boston Celtics,5-1,,3-2,5-1,2-0,2-0,3-3,1-1,2-0,4-1,1-1,2-0,3-3,5-1,3-3,3-3,2-0,1-1,2-0,1-1,1-1,2-0,3-3
3,Chicago Bulls,1-5,2-3,,5-1,1-1,1-1,2-4,2-0,1-1,4-2,0-2,0-2,1-5,2-4,1-4,1-5,0-2,1-1,0-2,1-1,0-2,1-1,1-5
4,Cleveland Cavaliers,0-6,1-5,1-5,,2-0,0-2,1-5,2-0,2-0,5-1,1-1,0-2,1-5,0-6,1-5,0-5,0-2,1-1,0-2,1-1,1-1,0-2,3-2
5,Dallas Mavericks,1-1,0-2,1-1,0-2,,3-3,2-0,3-2,5-1,2-0,3-3,2-3,0-2,0-2,0-2,0-2,2-3,3-2,2-4,5-0,2-3,2-4,0-2
6,Denver Nuggets,1-1,0-2,1-1,2-0,3-3,,2-0,4-1,5-1,1-1,3-3,1-4,2-0,1-1,0-2,0-2,4-1,2-3,2-4,3-2,3-2,4-2,1-1
7,Detroit Pistons,3-3,3-3,4-2,5-1,0-2,0-2,,2-0,2-0,4-2,0-2,0-2,3-3,3-2,1-5,0-6,1-1,1-1,1-1,1-1,0-2,0-2,3-2
8,Golden State Warriors,2-0,1-1,0-2,0-2,2-3,1-4,0-2,,3-2,1-1,1-4,1-5,1-1,0-2,1-1,0-2,2-4,2-4,1-4,3-3,3-3,3-2,2-0
9,Houston Rockets,0-2,0-2,1-1,0-2,1-5,1-5,0-2,2-3,,2-0,1-5,0-5,0-2,1-1,0-2,0-2,0-5,0-5,1-5,2-3,1-4,0-6,1-1
10,Indiana Pacers,0-6,1-4,2-4,1-5,0-2,1-1,2-4,1-1,0-2,,1-1,0-2,1-5,0-6,3-3,1-4,1-1,0-2,0-2,1-1,1-1,2-0,1-5
11,Kansas City Kings,2-0,1-1,2-0,1-1,3-3,3-3,2-0,4-1,5-1,1-1,,1-4,1-1,1-1,1-1,0-2,1-4,2-3,3-3,4-1,1-4,4-2,2-0
12,Los Angeles Lakers,2-0,0-2,2-0,2-0,3-2,4-1,2-0,5-1,5-0,2-0,4-1,,2-0,1-1,2-0,0-2,3-3,3-3,1-4,5-1,5-1,4-1,1-1
13,Milwaukee Bucks,4-1,3-3,5-1,5-1,2-0,0-2,3-3,1-1,2-0,5-1,1-1,0-2,,3-2,4-2,1-5,1-1,2-0,2-0,2-0,0-2,2-0,3-3
14,New Jersey Nets,4-2,1-5,4-2,6-0,2-0,1-1,2-3,2-0,1-1,6-0,1-1,1-1,2-3,,4-2,3-3,1-1,1-1,0-2,1-1,2-0,1-1,3-3
15,New York Knicks,2-3,3-3,4-1,5-1,2-0,2-0,5-1,1-1,2-0,3-3,1-1,0-2,2-4,2-4,,1-5,0-2,1-1,2-0,0-2,1-1,1-1,4-2
16,Philadelphia 76ers,4-2,3-3,5-1,5-0,2-0,2-0,6-0,2-0,2-0,4-1,2-0,2-0,5-1,3-3,5-1,,2-0,0-2,1-1,2-0,2-0,2-0,4-2
17,Phoenix Suns,1-1,0-2,2-0,2-0,3-2,1-4,1-1,4-2,5-0,1-1,4-1,3-3,1-1,1-1,2-0,0-2,,5-1,3-2,4-2,5-1,5-0,0-2
18,Portland Trail Blazers,1-1,1-1,1-1,1-1,2-3,3-2,1-1,4-2,5-0,2-0,3-2,3-3,0-2,1-1,1-1,2-0,1-5,,2-3,5-1,3-3,3-2,1-1
19,San Antonio Spurs,2-0,0-2,2-0,2-0,4-2,4-2,1-1,4-1,5-1,2-0,3-3,4-1,0-2,2-0,0-2,1-1,2-3,3-2,,4-1,1-4,5-1,2-0
20,San Diego Clippers,1-1,1-1,1-1,1-1,0-5,2-3,1-1,3-3,3-2,1-1,1-4,1-5,0-2,1-1,2-0,0-2,2-4,1-5,1-4,,0-6,2-3,0-2
21,Seattle SuperSonics,1-1,1-1,2-0,1-1,3-2,2-3,2-0,3-3,4-1,1-1,4-1,1-5,2-0,0-2,1-1,0-2,1-5,3-3,4-1,6-0,,5-0,1-1
22,Utah Jazz,0-2,0-2,1-1,2-0,4-2,2-4,2-0,2-3,6-0,0-2,2-4,1-4,0-2,1-1,1-1,0-2,0-5,2-3,1-5,3-2,0-5,,0-2
23,Washington Bullets,2-4,3-3,5-1,2-3,2-0,1-1,2-3,0-2,1-1,5-1,0-2,1-1,3-3,3-3,2-4,2-4,2-0,1-1,0-2,2-0,1-1,2-0,
