Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Jerry West,31,LAL,PG,74,,42.0,11.2,22.6,.497,8.7,10.6,.824,4.6,7.5,2.2,31.2,MVP-2ASNBA1,westje01
2,Kareem Abdul-Jabbar,22,MIL,C,82,,43.1,11.4,22.1,.518,5.9,9.1,.653,14.5,4.1,3.5,28.8,MVP-3ROY-1ASNBA2,abdulka01
3,Elvin Hayes,24,SDR,C,82,,44.7,11.1,24.6,.452,5.2,7.6,.688,16.9,2.0,3.3,27.5,AS,hayesel01
4,Wilt Chamberlain,33,LAL,C,12,,42.1,10.8,18.9,.568,5.8,13.1,.446,18.4,4.1,2.6,27.3,,chambwi01
5,Billy Cunningham,26,PHI,SF,81,,39.4,9.9,21.1,.469,6.3,8.6,.729,13.6,4.3,4.1,26.1,MVP-5ASNBA1,cunnibi01
6,Lou Hudson,25,ATL,SF,80,,38.6,10.4,19.6,.531,4.6,5.6,.824,4.7,3.5,2.8,25.4,MVP-7ASNBA2,hudsolo01
7,Oscar Robertson,31,CIN,PG,69,,41.5,9.4,18.4,.511,6.6,8.1,.809,6.1,8.1,2.5,25.3,MVP-16ASNBA2,roberos01
8,Connie Hawkins,27,PHO,SF,81,,40.9,8.8,17.9,.490,7.1,9.1,.779,10.4,4.8,3.5,24.6,MVP-5ASNBA1,hawkico01
9,Bob Rule,25,SEA,C,80,,37.0,9.9,21.3,.463,4.8,6.8,.714,10.3,1.8,3.5,24.6,AS,rulebo01
10,John Havlicek,29,BOS,SG,81,,41.6,9.1,19.6,.464,6.0,7.1,.844,7.8,6.8,2.6,24.2,MVP-10ASNBA2,havlijo01
11,Elgin Baylor,35,LAL,SF,54,,41.0,9.5,19.5,.486,5.1,6.6,.773,10.4,5.4,2.4,24.0,MVP-15AS,bayloel01
12,Earl Monroe,25,BAL,PG,82,,37.2,8.5,19.0,.446,6.5,7.8,.830,3.1,4.9,3.1,23.4,MVP-16,monroea01
13,Dave Bing,26,DET,PG,70,,33.3,8.2,18.5,.444,6.5,8.3,.783,4.3,6.0,2.8,22.9,,bingda01
14,Tom Van Arsdale,26,CIN,SF,71,,35.8,8.7,19.4,.451,5.4,6.9,.774,6.5,2.2,3.5,22.8,AS,vanarto01
15,Jeff Mullins,27,SFW,SG,74,,38.7,8.9,19.3,.460,4.3,5.1,.847,5.2,4.9,3.2,22.1,AS,mullije01
16,Hal Greer,33,PHI,SG,80,,37.8,8.8,19.4,.455,4.4,5.4,.815,4.7,5.1,3.8,22.0,AS,greerha01
17,Kevin Loughery,29,BAL,SG,55,,37.0,8.7,19.7,.441,4.6,5.4,.849,3.1,5.3,3.3,21.9,,loughke01
18,Nate Thurmond,28,SFW,C,43,,44.6,7.9,19.2,.414,6.1,8.0,.754,17.7,3.5,2.6,21.9,MVP-11AS,thurmna01
19,Flynn Robinson,28,MIL,PG,81,,34.1,8.2,17.2,.477,5.4,6.0,.898,3.2,5.5,3.1,21.8,AS,robinfl01
20,Willis Reed,27,NYK,C,81,81,38.1,8.7,17.1,.507,4.3,5.7,.756,13.9,2.0,3.5,21.7,MVP-1ASNBA1,reedwi01
21,Chet Walker,29,CHI,SF,78,,34.9,7.6,16.0,.477,6.2,7.3,.850,7.7,2.5,2.6,21.5,AS,walkech01
22,Dick Van Arsdale,26,PHO,SG,77,,38.5,7.7,15.1,.508,6.0,7.5,.798,3.4,4.4,3.7,21.3,AS,vanardi01
23,Joe Caldwell,28,ATL,SG,82,,34.8,8.2,16.2,.507,4.6,6.7,.688,5.0,3.5,3.1,21.1,MVP-12AS,caldwjo01
24,Bob Love,27,CHI,PF,82,,38.1,7.8,16.7,.466,5.4,6.4,.842,8.7,1.8,3.2,21.0,MVP-16,lovebo01
25,Walt Frazier,24,NYK,PG,77,77,39.5,7.8,15.0,.518,5.3,7.1,.748,6.0,8.2,2.6,20.9,MVP-4ASNBA1,fraziwa01
26,Jimmy Walker,25,DET,SG,81,,35.4,8.2,17.2,.478,4.4,5.4,.807,3.0,3.1,2.5,20.8,AS,walkeji01
27,Clem Haskins,26,CHI,SG,82,,39.2,8.1,18.1,.450,4.0,5.2,.783,4.6,7.6,2.9,20.3,,haskicl01
28,Gail Goodrich,26,PHO,PG,81,,39.9,7.0,15.4,.454,6.0,7.5,.808,4.2,7.5,3.1,20.0,,goodrga01
29,Archie Clark,28,PHI,PG,76,,36.5,7.8,15.8,.496,4.1,5.2,.785,4.0,5.0,2.6,19.7,,clarkar01
30,Jack Marin,25,BAL,SF,82,,35.9,8.1,16.6,.489,3.5,4.1,.844,6.5,2.6,3.0,19.7,,marinja01
31,Happy Hairston,27,2TM,PF,70,,34.7,6.9,13.9,.496,4.7,5.9,.789,11.1,1.7,3.3,18.5,,hairsha01
31,Happy Hairston,27,DET,PF,15,,18.8,3.8,6.9,.553,3.0,4.2,.714,5.9,0.7,2.4,10.6,,hairsha01
31,Happy Hairston,27,LAL,PF,55,,39.0,7.7,15.8,.490,5.1,6.4,.803,12.5,2.0,3.5,20.6,,hairsha01
32,Lenny Wilkens,32,SEA,PG,75,,37.4,6.0,14.2,.420,5.8,7.4,.788,5.0,9.1,2.8,17.8,AS,wilkele01
33,Jon McGlocklin,26,MIL,SG,82,,36.2,7.8,14.7,.530,2.1,2.4,.854,3.1,3.7,2.0,17.6,,mcglojo01
34,Gus Johnson,31,BAL,PF,78,,37.4,7.4,16.4,.451,2.5,3.5,.724,13.9,3.4,3.4,17.3,ASNBA2,johnsgu01
35,Connie Dierking,33,CIN,C,76,,32.2,6.9,16.4,.419,3.0,4.0,.752,8.2,2.2,3.6,16.7,,dierkco01
36,Wes Unseld,23,BAL,C,82,,39.4,6.4,12.4,.518,3.3,5.2,.638,16.7,3.5,3.0,16.2,MVP-8,unselwe01
37,Joe Ellis,25,SFW,SF,76,,31.3,6.6,16.1,.410,2.6,3.6,.741,7.8,1.8,3.7,15.8,,ellisjo01
38,Johnny Green,36,CIN,PF,78,,29.2,6.2,11.0,.559,3.3,5.5,.592,10.8,1.4,3.4,15.6,,greenjo01
39,Jerry Sloan,27,CHI,SF,53,,34.4,5.8,13.9,.421,3.9,6.0,.651,7.0,3.1,3.4,15.6,,sloanje01
40,Don Nelson,29,BOS,PF,82,,27.1,5.6,11.2,.501,4.1,5.3,.775,7.3,1.8,2.9,15.4,,nelsodo01
41,Walt Hazzard,27,ATL,PG,82,,33.6,6.0,12.9,.467,3.3,4.0,.809,4.0,6.8,3.2,15.3,MVP-12,abdulma01
42,Don Kojis,31,SDR,SF,56,,28.2,6.0,13.5,.447,3.2,4.3,.751,6.9,1.4,2.4,15.3,,kojisdo01
43,Bob Boozer,32,SEA,PF,82,,31.1,6.0,12.3,.491,3.2,3.9,.822,8.7,1.3,2.9,15.2,,boozebo01
44,Jerry Lucas,29,2TM,PF,67,,36.1,6.0,11.9,.507,3.0,3.8,.784,14.2,2.6,2.4,15.1,,lucasje01
44,Jerry Lucas,29,CIN,PF,4,,29.5,4.5,8.8,.514,1.3,1.8,.714,11.3,2.3,1.3,10.3,,lucasje01
44,Jerry Lucas,29,SFW,PF,63,,36.5,6.1,12.1,.507,3.1,3.9,.786,14.4,2.6,2.5,15.4,,lucasje01
45,Dick Barnett,33,NYK,SG,82,82,33.8,6.0,12.7,.475,2.8,4.0,.714,2.7,3.6,2.7,14.9,,barnedi01
46,Jim Barnett,25,SDR,SG,80,,26.3,5.6,12.5,.451,3.6,4.6,.790,3.8,3.6,2.8,14.9,,barneji02
47,Bill Bridges,30,ATL,PF,82,,39.9,5.4,11.4,.475,4.0,5.5,.734,14.4,4.2,3.6,14.8,MVP-8AS,bridgbi01
48,Fred Foster,23,CIN,SF,74,,28.1,6.2,13.9,.449,2.4,3.3,.724,4.2,1.4,2.8,14.8,,fostefr01
49,Ron Williams,25,SFW,PG,80,,30.4,5.7,13.1,.432,3.5,4.2,.822,2.4,5.3,3.6,14.8,,williro01
50,Dave DeBusschere,29,NYK,PF,79,79,33.3,6.2,13.7,.451,2.2,3.2,.688,10.0,2.5,3.1,14.6,AS,debusda01
51,John Block,25,SDR,PF,82,,26.2,5.5,12.5,.442,3.5,4.5,.782,7.4,1.7,3.4,14.5,,blockjo01
52,Bill Bradley,26,NYK,SF,67,64,31.3,6.2,13.4,.460,2.2,2.6,.824,3.6,4.0,3.3,14.5,,bradlbi01
53,Stu Lantz,23,SDR,PG,82,,30.1,5.5,12.5,.443,3.4,4.4,.770,3.1,3.5,2.9,14.5,,lantzst01
54,Jim Davis,28,ATL,C,82,,32.0,5.3,11.5,.464,2.9,3.9,.755,9.7,2.9,4.1,13.6,,davisji01
55,Darrall Imhoff,31,PHI,C,79,,31.3,5.4,10.1,.540,2.7,4.2,.650,9.5,2.7,3.7,13.6,,imhofda01
56,Dick Snyder,25,2TM,SG,82,,29.7,5.6,10.5,.528,2.1,2.5,.813,3.9,4.2,3.4,13.2,,snydedi01
56,Dick Snyder,25,PHO,,6,,24.5,3.7,7.5,.489,1.2,1.3,.875,2.5,1.5,3.3,8.5,,snydedi01
56,Dick Snyder,25,SEA,SG,76,,30.1,5.7,10.8,.531,2.1,2.6,.810,4.1,4.4,3.4,13.6,,snydedi01
