Rk,Team,ATL,BOS,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIL,NJN,NYK,PHI,PHO,POR,SAC,SAS,SEA,UTA,WSB
1,Atlanta Hawks,,3-3,4-2,4-2,2-0,2-0,3-3,1-1,1-1,3-3,2-0,1-1,3-3,5-0,5-1,3-3,1-1,1-1,2-0,2-0,2-0,2-0,5-0
2,Boston Celtics,3-3,,6-0,3-2,2-0,2-0,3-2,2-0,2-0,5-1,2-0,0-2,3-3,4-2,4-2,3-3,2-0,2-0,2-0,2-0,2-0,1-1,4-2
3,Chicago Bulls,2-4,0-6,,5-1,1-1,1-1,3-3,0-2,0-2,3-2,2-0,0-2,4-2,3-2,4-2,3-3,1-1,1-1,1-1,1-1,2-0,0-2,3-3
4,Cleveland Cavaliers,2-4,2-3,1-5,,0-2,1-1,1-5,1-1,0-2,3-3,2-0,0-2,1-5,4-2,4-1,2-4,1-1,1-1,1-1,1-1,1-1,0-2,2-4
5,Dallas Mavericks,0-2,0-2,1-1,2-0,,4-2,1-1,5-0,3-3,0-2,5-0,3-2,2-0,2-0,2-0,2-0,3-2,2-3,5-1,4-2,5-0,3-3,1-1
6,Denver Nuggets,0-2,0-2,1-1,1-1,2-4,,0-2,4-1,3-3,1-1,2-3,0-5,1-1,2-0,2-0,0-2,3-2,3-2,2-4,5-1,2-3,2-4,1-1
7,Detroit Pistons,3-3,2-3,3-3,5-1,1-1,2-0,,1-1,1-1,3-3,2-0,1-1,3-3,5-1,6-0,5-0,1-1,0-2,1-1,1-1,2-0,1-1,3-3
8,Golden State Warriors,1-1,0-2,2-0,1-1,0-5,1-4,1-1,,4-1,0-2,6-0,2-4,0-2,2-0,2-0,1-1,1-5,4-2,4-1,4-1,4-2,2-3,0-2
9,Houston Rockets,1-1,0-2,2-0,2-0,3-3,3-3,1-1,1-4,,2-0,4-1,1-4,0-2,1-1,1-1,0-2,3-2,2-3,5-1,5-1,1-4,3-3,1-1
10,Indiana Pacers,3-3,1-5,2-3,3-3,2-0,1-1,3-3,2-0,0-2,,2-0,0-2,2-4,5-1,3-2,2-4,1-1,0-2,1-1,2-0,1-1,1-1,4-2
11,Los Angeles Clippers,0-2,0-2,0-2,0-2,0-5,3-2,0-2,0-6,1-4,0-2,,0-6,0-2,1-1,0-2,0-2,1-5,0-6,1-4,1-4,2-4,2-3,0-2
12,Los Angeles Lakers,1-1,2-0,2-0,2-0,2-3,5-0,1-1,4-2,4-1,2-0,6-0,,1-1,2-0,2-0,2-0,5-1,5-1,5-0,4-1,4-2,3-2,1-1
13,Milwaukee Bucks,3-3,3-3,2-4,5-1,0-2,1-1,3-3,2-0,2-0,4-2,2-0,1-1,,4-2,4-2,2-3,2-0,0-2,2-0,1-1,2-0,1-1,4-1
14,New Jersey Nets,0-5,2-4,2-3,2-4,0-2,0-2,1-5,0-2,1-1,1-5,1-1,0-2,2-4,,5-1,3-3,1-1,0-2,0-2,0-2,0-2,1-1,2-4
15,New York Knicks,1-5,2-4,2-4,1-4,0-2,0-2,0-6,0-2,1-1,2-3,2-0,0-2,2-4,1-5,,3-3,1-1,0-2,2-0,1-1,0-2,1-1,2-4
16,Philadelphia 76ers,3-3,3-3,3-3,4-2,0-2,2-0,0-5,1-1,2-0,4-2,2-0,0-2,3-2,3-3,3-3,,1-1,2-0,2-0,1-1,2-0,1-1,3-3
17,Phoenix Suns,1-1,0-2,1-1,1-1,2-3,2-3,1-1,5-1,2-3,1-1,5-1,1-5,0-2,1-1,1-1,1-1,,2-4,2-3,2-3,1-5,4-1,0-2
18,Portland Trail Blazers,1-1,0-2,1-1,1-1,3-2,2-3,2-0,2-4,3-2,2-0,6-0,1-5,2-0,2-0,2-0,0-2,4-2,,3-2,4-1,4-2,3-2,1-1
19,Sacramento Kings,0-2,0-2,1-1,1-1,1-5,4-2,1-1,1-4,1-5,1-1,4-1,0-5,0-2,2-0,0-2,0-2,3-2,2-3,,3-3,2-3,1-5,1-1
20,San Antonio Spurs,0-2,0-2,1-1,1-1,2-4,1-5,1-1,1-4,1-5,0-2,4-1,1-4,1-1,2-0,1-1,1-1,3-2,1-4,3-3,,1-4,2-4,0-2
21,Seattle SuperSonics,0-2,0-2,0-2,1-1,0-5,3-2,0-2,2-4,4-1,1-1,4-2,2-4,0-2,2-0,2-0,0-2,5-1,2-4,3-2,4-1,,3-2,1-1
22,Utah Jazz,0-2,1-1,2-0,2-0,3-3,4-2,1-1,3-2,3-3,1-1,3-2,2-3,1-1,1-1,1-1,1-1,1-4,2-3,5-1,4-2,2-3,,1-1
23,Washington Bullets,0-5,2-4,3-3,4-2,1-1,1-1,3-3,2-0,1-1,2-4,2-0,1-1,1-4,4-2,4-2,3-3,2-0,1-1,1-1,2-0,1-1,1-1,
