Rk,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS
1,Atlanta Hawks,,1-3,1-3,3-1,3-1,0-2,1-1,1-3,0-2,1-1,1-3,1-1,0-2,2-2,0-4,1-1,3-1,2-1,0-3,0-4,0-2,0-2,2-0,0-2,1-1,2-2,0-2,1-1,1-3
2,Boston Celtics,3-1,,1-3,2-2,2-2,1-1,2-0,0-3,1-1,1-1,1-3,1-1,0-2,1-3,1-2,0-2,3-1,2-2,2-2,1-3,1-1,0-2,1-1,0-2,1-1,2-2,1-1,1-1,3-1
3,Charlotte Hornets,3-1,3-1,,4-0,3-1,1-1,1-1,2-2,2-0,1-1,2-2,2-0,0-2,2-2,3-1,2-0,2-1,1-3,2-2,3-1,1-1,0-2,0-2,0-2,1-1,3-1,0-2,2-0,3-0
4,Chicago Bulls,1-3,2-2,0-4,,1-3,0-2,1-1,1-3,0-2,0-2,1-3,2-0,0-2,2-2,1-3,0-2,2-1,0-3,0-4,0-4,0-2,0-2,0-2,0-2,1-1,0-4,0-2,0-2,2-2
5,Cleveland Cavaliers,1-3,2-2,1-3,3-1,,2-0,2-0,2-2,1-1,1-1,0-4,2-0,0-2,0-3,1-3,0-2,2-2,3-1,2-1,0-4,0-2,1-1,0-2,1-1,0-2,0-4,0-2,2-0,3-1
6,Dallas Mavericks,2-0,1-1,1-1,2-0,0-2,,3-1,2-0,4-0,1-3,1-1,4-0,1-3,0-2,0-2,2-2,0-2,0-2,1-1,0-2,3-1,2-2,1-3,2-2,1-3,1-1,1-3,3-1,1-1
7,Denver Nuggets,1-1,0-2,1-1,1-1,0-2,1-3,,1-1,2-2,2-2,0-2,3-1,1-3,0-2,2-0,2-2,1-1,1-1,0-2,2-0,1-3,2-2,2-2,1-3,1-3,2-0,2-2,2-2,1-1
8,Detroit Pistons,3-1,3-0,2-2,3-1,2-2,0-2,1-1,,2-0,1-1,1-3,2-0,0-2,2-2,3-1,0-2,2-1,1-3,2-2,2-2,0-2,1-1,0-2,1-1,2-0,2-2,0-2,2-0,2-2
9,Golden State Warriors,2-0,1-1,0-2,2-0,1-1,0-4,2-2,0-2,,1-3,0-2,1-3,0-4,1-1,1-1,1-3,0-2,0-2,1-1,0-2,0-4,0-4,1-3,0-4,0-4,0-2,0-4,3-1,1-1
10,Houston Rockets,1-1,1-1,1-1,2-0,1-1,3-1,2-2,1-1,3-1,,0-2,4-0,2-2,1-1,0-2,0-4,1-1,0-2,0-2,1-1,2-2,2-2,1-3,0-4,1-3,0-2,1-3,2-2,1-1
11,Indiana Pacers,3-1,3-1,2-2,3-1,4-0,1-1,2-0,3-1,2-0,2-0,,1-1,1-1,2-2,2-2,1-1,3-1,2-2,2-1,2-2,1-1,2-0,1-1,1-1,1-1,3-1,2-0,2-0,2-1
12,Los Angeles Clippers,1-1,1-1,0-2,0-2,0-2,0-4,1-3,0-2,3-1,0-4,1-1,,0-4,0-2,0-2,1-3,1-1,1-1,0-2,1-1,0-4,0-4,1-3,0-4,1-3,0-2,0-4,1-3,1-1
13,Los Angeles Lakers,2-0,2-0,2-0,2-0,2-0,3-1,3-1,2-0,4-0,2-2,1-1,4-0,,2-0,2-0,4-0,2-0,2-0,2-0,2-0,4-0,2-2,3-1,1-3,3-1,1-1,3-1,4-0,1-1
14,Miami Heat,2-2,3-1,2-2,2-2,3-0,2-0,2-0,2-2,1-1,1-1,2-2,2-0,0-2,,2-2,2-0,2-2,3-1,3-1,3-1,1-1,1-1,2-0,1-1,1-1,1-2,1-1,1-1,4-0
15,Milwaukee Bucks,4-0,2-1,1-3,3-1,3-1,2-0,0-2,1-3,1-1,2-0,2-2,2-0,0-2,2-2,,0-2,1-3,0-4,4-0,0-3,1-1,0-2,1-1,2-0,1-1,2-2,1-1,1-1,3-1
